Title,Description,Url,img
Interactive Map,"This page reads data from a csv file and outputs the data into a map and table, for easy visualization.",https://students.washington.edu/kchandar/info343/a3-mapping-kchandar/,imgs/map.png
Tweeter,"This page uses Google's Firebase to keep track of users, names, pictures, tweets, and more.",https://students.washington.edu/kchandar/info343/a4-firebase-kchandar/,imgs/tweeter.png
Lyrify,"This page uses Spotify's API, as well as MusicMatch's API, to listen to and read lyrics of a song.",https://students.washington.edu/kchandar/info343/a5-spotify-kchandar/,imgs/lyrify.png
