Title,Description,Url,img
Interactive Map,This page reads data from a csv file and outputs the data into a map and table for easy visualization.,https://students.washington.edu/kchandar/info343/a3-mapping-kchandar/,
Tweeter,"This page uses Google's Firebase to keep track of users, names, pictures, tweets, and more.",https://students.washington.edu/kchandar/info343/a4-firebase-kchandar/,
Lyrify,This page uses Spotify's API as well as MusicMatch's to access songs and show the lyrics of the song.,https://students.washington.edu/kchandar/info343/a5-spotify-kchandar/,
